Time,Main Service
02/29/2016 23:00:00,1272.6000000014901
03/01/2016 00:00:00,1367.0999999977648
03/01/2016 01:00:00,1209.6000000014901
03/01/2016 02:00:00,1215.8999999985099
03/01/2016 03:00:00,1222.2000000029802
03/01/2016 04:00:00,1234.7999999970198
03/01/2016 05:00:00,1260.0000000037253
03/01/2016 06:00:00,1020.5999999940395
03/01/2016 07:00:00,970.2000000029802
03/01/2016 08:00:00,1014.2999999970198
03/01/2016 09:00:00,1071.0
03/01/2016 10:00:00,1020.6000000014901
03/01/2016 11:00:00,1222.2000000029802
03/01/2016 12:00:00,1234.7999999970198
03/01/2016 13:00:00,1518.3000000044703
03/01/2016 14:00:00,1499.3999999985099
03/01/2016 15:00:00,1386.0
03/01/2016 16:00:00,1341.8999999985099
03/01/2016 17:00:00,1323.0
03/01/2016 18:00:00,1285.2000000029802
03/01/2016 19:00:00,1392.2999999970198
03/01/2016 20:00:00,1600.2000000029802
03/01/2016 21:00:00,1619.0999999940395
03/01/2016 22:00:00,1644.3000000044703
03/01/2016 23:00:00,1606.5
03/02/2016 00:00:00,1575.0
03/02/2016 01:00:00,1556.1000000014901
03/02/2016 02:00:00,1518.2999999970198
03/02/2016 03:00:00,1530.8999999985099
03/02/2016 04:00:00,1499.3999999985099
03/02/2016 05:00:00,1556.1000000014901
03/02/2016 06:00:00,1581.3000000044703
03/02/2016 07:00:00,1575.0
03/02/2016 08:00:00,1568.6999999955297
03/02/2016 09:00:00,1524.6000000014901
03/02/2016 10:00:00,1537.2000000029802
03/02/2016 11:00:00,1619.0999999940395
03/02/2016 12:00:00,1644.3000000044703
03/02/2016 13:00:00,1719.8999999985099
03/02/2016 14:00:00,1770.2999999970198
03/02/2016 15:00:00,1757.7000000029802
03/02/2016 16:00:00,1757.7000000029802
03/02/2016 17:00:00,1745.0999999940395
03/02/2016 18:00:00,1745.1000000014901
03/02/2016 19:00:00,1808.1000000014901
03/02/2016 20:00:00,1814.3999999985099
03/02/2016 21:00:00,1896.3000000044703
03/02/2016 22:00:00,1839.5999999940395
03/02/2016 23:00:00,1801.8000000044703
03/03/2016 00:00:00,1745.1000000014901
03/03/2016 01:00:00,1738.7999999970198
03/03/2016 02:00:00,1732.5
03/03/2016 03:00:00,1738.7999999970198
03/03/2016 04:00:00,1719.9000000059605
03/03/2016 05:00:00,1701.0
03/03/2016 06:00:00,1713.5999999940395
03/03/2016 07:00:00,1732.5
03/03/2016 08:00:00,1738.8000000044703
03/03/2016 09:00:00,1745.1000000014901
03/03/2016 10:00:00,1719.8999999985099
03/03/2016 11:00:00,1694.6999999955297
03/03/2016 12:00:00,1757.7000000029802
03/03/2016 13:00:00,1732.5
03/03/2016 14:00:00,1764.0
03/03/2016 15:00:00,1795.5
03/03/2016 16:00:00,1827.0
03/03/2016 17:00:00,1801.7999999970198
03/03/2016 18:00:00,1719.9000000059605
03/03/2016 19:00:00,1713.5999999940395
03/03/2016 20:00:00,1770.3000000044703
03/03/2016 21:00:00,1782.8999999985099
03/03/2016 22:00:00,1732.5
03/03/2016 23:00:00,1719.8999999985099
03/04/2016 00:00:00,1707.3000000044703
03/04/2016 01:00:00,1713.5999999940395
03/04/2016 02:00:00,1694.7000000029802
03/04/2016 03:00:00,1713.6000000014901
03/04/2016 04:00:00,1713.6000000014901
03/04/2016 05:00:00,1663.1999999955297
03/04/2016 06:00:00,1682.1000000014901
03/04/2016 07:00:00,1524.6000000014901
03/04/2016 08:00:00,1593.8999999985099
03/04/2016 09:00:00,1656.8999999985099
03/04/2016 10:00:00,1682.1000000014901
03/04/2016 11:00:00,1675.7999999970198
03/04/2016 12:00:00,1719.9000000059605
03/04/2016 13:00:00,1732.5
03/04/2016 14:00:00,1732.5
03/04/2016 15:00:00,1738.7999999970198
03/04/2016 16:00:00,1770.2999999970198
03/04/2016 17:00:00,1776.6000000014901
03/04/2016 18:00:00,1745.1000000014901
03/04/2016 19:00:00,1864.7999999970198
03/04/2016 20:00:00,1827.0
03/04/2016 21:00:00,1757.7000000029802
03/04/2016 22:00:00,1782.8999999985099
03/04/2016 23:00:00,1701.0
03/05/2016 00:00:00,1726.2000000029802
03/05/2016 01:00:00,1694.6999999955297
03/05/2016 02:00:00,1682.1000000014901
03/05/2016 03:00:00,1675.8000000044703
03/05/2016 04:00:00,1638.0
03/05/2016 05:00:00,1612.7999999970198
03/05/2016 06:00:00,1568.7000000029802
03/05/2016 07:00:00,1530.8999999985099
03/05/2016 08:00:00,1656.8999999985099
03/05/2016 09:00:00,1770.2999999970198
03/05/2016 10:00:00,1770.3000000044703
03/05/2016 11:00:00,1751.3999999985099
03/05/2016 12:00:00,1726.2000000029802
03/05/2016 13:00:00,1719.8999999985099
03/05/2016 14:00:00,1701.0
03/05/2016 15:00:00,1644.2999999970198
03/05/2016 16:00:00,1631.7000000029802
03/05/2016 17:00:00,1644.2999999970198
03/05/2016 18:00:00,1631.7000000029802
03/05/2016 19:00:00,1631.6999999955297
03/05/2016 20:00:00,1625.4000000059605
03/05/2016 21:00:00,1619.0999999940395
03/05/2016 22:00:00,1587.6000000014901
03/05/2016 23:00:00,1549.8000000044703
03/06/2016 00:00:00,1549.7999999970198
03/06/2016 01:00:00,1587.6000000014901
03/06/2016 02:00:00,1436.3999999985099
03/06/2016 03:00:00,1474.2000000029802
03/06/2016 04:00:00,1455.2999999970198
03/06/2016 05:00:00,1411.2000000029802
03/06/2016 06:00:00,1392.2999999970198
03/06/2016 07:00:00,1278.8999999985099
03/06/2016 08:00:00,1241.1000000014901
03/06/2016 09:00:00,1285.2000000029802
03/06/2016 10:00:00,1291.5
03/06/2016 11:00:00,1247.3999999985099
03/06/2016 12:00:00,1234.7999999970198
03/06/2016 13:00:00,1197.0
03/06/2016 14:00:00,1184.3999999985099
03/06/2016 15:00:00,1152.9000000059605
03/06/2016 16:00:00,1140.2999999970198
03/06/2016 17:00:00,1127.7000000029802
03/06/2016 18:00:00,1108.7999999970198
03/06/2016 19:00:00,1115.1000000014901
03/06/2016 20:00:00,1102.5
03/06/2016 21:00:00,1102.5
03/06/2016 22:00:00,1083.6000000014901
03/06/2016 23:00:00,1033.1999999955297
03/07/2016 00:00:00,894.6000000014901
03/07/2016 01:00:00,900.8999999985099
03/07/2016 02:00:00,913.5
03/07/2016 03:00:00,863.1000000014901
03/07/2016 04:00:00,831.6000000014901
03/07/2016 05:00:00,863.1000000014901
03/07/2016 06:00:00,831.5999999940395
03/07/2016 07:00:00,882.0
03/07/2016 08:00:00,995.4000000059605
03/07/2016 09:00:00,1115.0999999940395
03/07/2016 10:00:00,1058.4000000059605
03/07/2016 11:00:00,982.7999999970198
03/07/2016 12:00:00,1260.0
03/07/2016 13:00:00,1360.7999999970198
03/07/2016 14:00:00,1348.2000000029802
03/07/2016 15:00:00,1215.8999999985099
03/07/2016 16:00:00,1316.7000000029802
03/07/2016 17:00:00,1417.5
03/07/2016 18:00:00,1360.7999999970198
03/07/2016 19:00:00,1253.7000000029802
03/07/2016 20:00:00,1480.5
03/07/2016 21:00:00,1524.6000000014901
03/07/2016 22:00:00,1480.5
03/07/2016 23:00:00,1386.0
03/08/2016 00:00:00,1505.6999999955297
03/08/2016 01:00:00,1266.3000000044703
03/08/2016 02:00:00,1354.5
03/08/2016 03:00:00,1373.3999999985099
03/08/2016 04:00:00,1367.1000000014901
03/08/2016 05:00:00,1404.8999999985099
03/08/2016 06:00:00,1417.5
03/08/2016 07:00:00,1341.8999999985099
03/08/2016 08:00:00,1562.3999999985099
03/08/2016 09:00:00,1367.1000000014901
03/08/2016 10:00:00,1423.7999999970198
03/08/2016 11:00:00,1404.9000000059605
03/08/2016 12:00:00,1568.6999999955297
03/08/2016 13:00:00,1719.8999999985099
03/08/2016 14:00:00,1732.5
03/08/2016 15:00:00,1612.8000000044703
03/08/2016 16:00:00,1612.7999999970198
03/08/2016 17:00:00,1512.0
03/08/2016 18:00:00,1600.2000000029802
03/08/2016 19:00:00,1707.2999999970198
03/08/2016 20:00:00,1770.3000000044703
03/08/2016 21:00:00,1953.0
03/08/2016 22:00:00,1934.0999999940395
03/08/2016 23:00:00,1871.1000000014901
03/09/2016 00:00:00,1852.2000000029802
03/09/2016 01:00:00,1845.8999999985099
03/09/2016 02:00:00,1757.7000000029802
03/09/2016 03:00:00,1789.1999999955297
03/09/2016 04:00:00,1770.3000000044703
03/09/2016 05:00:00,1795.5
03/09/2016 06:00:00,1770.2999999970198
03/09/2016 07:00:00,1638.0
03/09/2016 08:00:00,1738.7999999970198
03/09/2016 09:00:00,1726.2000000029802
03/09/2016 10:00:00,1606.5
03/09/2016 11:00:00,1562.3999999985099
03/09/2016 12:00:00,1694.7000000029802
03/09/2016 13:00:00,1732.5
03/09/2016 14:00:00,1764.0
03/09/2016 15:00:00,1745.1000000014901
03/09/2016 16:00:00,1719.8999999985099
03/09/2016 17:00:00,1688.3999999985099
03/09/2016 18:00:00,1694.7000000029802
03/09/2016 19:00:00,1751.3999999985099
03/09/2016 20:00:00,1770.2999999970198
03/09/2016 21:00:00,1915.2000000029802
03/09/2016 22:00:00,1864.7999999970198
03/09/2016 23:00:00,1864.8000000044703
03/10/2016 00:00:00,2047.5
03/10/2016 01:00:00,1997.0999999940395
03/10/2016 02:00:00,1978.2000000029802
03/10/2016 03:00:00,1789.2000000029802
03/10/2016 04:00:00,1707.2999999970198
03/10/2016 05:00:00,1751.3999999985099
03/10/2016 06:00:00,1732.5
03/10/2016 07:00:00,1719.8999999985099
03/10/2016 08:00:00,1682.1000000014901
03/10/2016 09:00:00,1776.6000000014901
03/10/2016 10:00:00,1770.2999999970198
03/10/2016 11:00:00,1745.1000000014901
03/10/2016 12:00:00,1795.5
03/10/2016 13:00:00,1820.7000000029802
03/10/2016 14:00:00,1789.1999999955297
03/10/2016 15:00:00,1757.7000000029802
03/10/2016 16:00:00,1789.2000000029802
03/10/2016 17:00:00,1726.1999999955297
03/10/2016 18:00:00,1751.3999999985099
03/10/2016 19:00:00,1795.5
03/10/2016 20:00:00,1858.5
03/10/2016 21:00:00,1940.4000000059605
03/10/2016 22:00:00,1877.3999999985099
03/10/2016 23:00:00,1814.3999999985099
03/11/2016 00:00:00,1789.2000000029802
03/11/2016 01:00:00,1789.1999999955297
03/11/2016 02:00:00,1732.5
03/11/2016 03:00:00,1732.5
03/11/2016 04:00:00,1776.6000000014901
03/11/2016 05:00:00,1776.6000000014901
03/11/2016 06:00:00,1776.6000000014901
03/11/2016 07:00:00,1474.1999999955297
03/11/2016 08:00:00,1367.1000000014901
03/11/2016 09:00:00,1354.5
03/11/2016 10:00:00,1329.2999999970198
03/11/2016 11:00:00,1656.9000000059605
03/11/2016 12:00:00,1782.8999999985099
03/11/2016 13:00:00,1713.6000000014901
03/11/2016 14:00:00,1789.1999999955297
03/11/2016 15:00:00,1770.3000000044703
03/11/2016 16:00:00,1801.7999999970198
03/11/2016 17:00:00,1757.7000000029802
03/11/2016 18:00:00,1726.1999999955297
03/11/2016 19:00:00,1732.5
03/11/2016 20:00:00,1808.1000000014901
03/11/2016 21:00:00,1827.0
03/11/2016 22:00:00,1770.2999999970198
03/11/2016 23:00:00,1745.1000000014901
03/12/2016 00:00:00,1764.0
03/12/2016 01:00:00,1726.2000000029802
03/12/2016 02:00:00,1713.6000000014901
03/12/2016 03:00:00,1707.2999999970198
03/12/2016 04:00:00,1650.6000000014901
03/12/2016 05:00:00,1449.0
03/12/2016 06:00:00,1329.2999999970198
03/12/2016 07:00:00,1392.3000000044703
03/12/2016 08:00:00,1474.1999999955297
03/12/2016 09:00:00,1461.6000000014901
03/12/2016 10:00:00,1707.2999999970198
03/12/2016 11:00:00,1782.9000000059605
03/12/2016 12:00:00,1782.8999999985099
03/12/2016 13:00:00,1751.3999999985099
03/12/2016 14:00:00,1732.5
03/12/2016 15:00:00,1600.2000000029802
03/12/2016 16:00:00,1581.2999999970198
03/12/2016 17:00:00,1575.0
03/12/2016 18:00:00,1486.7999999970198
03/12/2016 19:00:00,1486.8000000044703
03/12/2016 20:00:00,1461.6000000014901
03/12/2016 21:00:00,1411.1999999955297
03/12/2016 22:00:00,1398.6000000014901
03/12/2016 23:00:00,1638.0
03/13/2016 00:00:00,1600.2000000029802
03/13/2016 01:00:00,1480.5
03/13/2016 03:00:00,1486.7999999970198
03/13/2016 04:00:00,1386.0
03/13/2016 05:00:00,1474.2000000029802
03/13/2016 06:00:00,1404.8999999985099
03/13/2016 07:00:00,1398.6000000014901
03/13/2016 08:00:00,1455.2999999970198
03/13/2016 09:00:00,1549.7999999970198
03/13/2016 10:00:00,1600.2000000029802
03/13/2016 11:00:00,1411.2000000029802
03/13/2016 12:00:00,1354.5
03/13/2016 13:00:00,1373.3999999985099
03/13/2016 14:00:00,1272.6000000014901
03/13/2016 15:00:00,1178.0999999940395
03/13/2016 16:00:00,1146.6000000014901
03/13/2016 17:00:00,1089.8999999985099
03/13/2016 18:00:00,1071.0
03/13/2016 19:00:00,1089.9000000059605
03/13/2016 20:00:00,1058.3999999985099
03/13/2016 21:00:00,1190.6999999955297
03/13/2016 22:00:00,1077.3000000044703
03/13/2016 23:00:00,1064.6999999955297
03/14/2016 00:00:00,1026.9000000059605
03/14/2016 01:00:00,837.8999999985099
03/14/2016 02:00:00,882.0
03/14/2016 03:00:00,856.7999999970198
03/14/2016 04:00:00,919.8000000044703
03/14/2016 05:00:00,1178.0999999940395
03/14/2016 06:00:00,863.1000000014901
03/14/2016 07:00:00,844.2000000029802
03/14/2016 08:00:00,869.3999999985099
03/14/2016 09:00:00,976.5
03/14/2016 10:00:00,970.2000000029802
03/14/2016 11:00:00,1001.6999999955297
03/14/2016 12:00:00,1102.5
03/14/2016 13:00:00,1064.7000000029802
03/14/2016 14:00:00,1272.6000000014901
03/14/2016 15:00:00,1518.2999999970198
03/14/2016 16:00:00,1512.0
03/14/2016 17:00:00,1404.8999999985099
03/14/2016 18:00:00,1442.7000000029802
03/14/2016 19:00:00,1436.3999999985099
03/14/2016 20:00:00,1543.5
03/14/2016 21:00:00,1398.6000000014901
03/14/2016 22:00:00,1379.6999999955297
03/14/2016 23:00:00,1310.4000000059605
03/15/2016 00:00:00,1297.7999999970198
03/15/2016 01:00:00,1247.3999999985099
03/15/2016 02:00:00,1241.1000000014901
03/15/2016 03:00:00,1134.0
03/15/2016 04:00:00,1115.1000000014901
03/15/2016 05:00:00,1134.0
03/15/2016 06:00:00,1178.1000000014901
03/15/2016 07:00:00,1467.8999999985099
03/15/2016 08:00:00,1411.1999999955297
03/15/2016 09:00:00,1530.9000000059605
03/15/2016 10:00:00,1423.7999999970198
03/15/2016 11:00:00,1386.0
03/15/2016 12:00:00,1682.1000000014901
03/15/2016 13:00:00,1770.2999999970198
03/15/2016 14:00:00,1751.3999999985099
03/15/2016 15:00:00,1751.4000000059605
03/15/2016 16:00:00,1782.8999999985099
03/15/2016 17:00:00,1707.2999999970198
03/15/2016 18:00:00,1713.6000000014901
03/15/2016 19:00:00,1745.1000000014901
03/15/2016 20:00:00,1833.2999999970198
03/15/2016 21:00:00,1839.6000000014901
03/15/2016 22:00:00,1789.2000000029802
03/15/2016 23:00:00,1745.0999999940395
03/16/2016 00:00:00,1713.6000000014901
03/16/2016 01:00:00,1701.0
03/16/2016 02:00:00,1694.7000000029802
03/16/2016 03:00:00,1694.6999999955297
03/16/2016 04:00:00,1719.9000000059605
03/16/2016 05:00:00,1688.3999999985099
03/16/2016 06:00:00,1701.0
03/16/2016 07:00:00,1707.2999999970198
03/16/2016 08:00:00,1707.3000000044703
03/16/2016 09:00:00,1764.0
03/16/2016 10:00:00,1789.1999999955297
